lineItem,b2016,b2017,Type,Dept
Gain/Loss on Revaluation of Euro,0,0,Revenue,Corporate Administration
Interest - Miscellaneous,11e3,11e3,Revenue,Corporate Administration
Misc FY Adjustments,0,0,Revenue,Corporate Administration
Unrealized Gain/Loss on Investments,0,0,Revenue,Corporate Administration
Accounting - General,-3500,-5e3,Expense,Corporate Administration
Annual Report,-37,-37,Expense,Corporate Administration
Audit,-25e3,-25e3,Expense,Corporate Administration
Authorize.Net Fees,-1e3,-1e3,Expense,Corporate Administration
Bank Charges,-9e3,-9e3,Expense,Corporate Administration
Custom Broker Expense,-250,-0,Expense,Corporate Administration
Insurance,-6107,-6500,Expense,Corporate Administration
Legal,-2e4,-15e3,Expense,Corporate Administration
Management - Incentive,-170472.9,-163683.71,Expense,Corporate Administration
Management & Overhead,-920043.4,-1080627,Expense,Corporate Administration
Misc. Expense - Contract Vendor,-2400,-2400,Expense,Corporate Administration
Office Supplies,-500,-250,Expense,Corporate Administration
Postage/Shipping,-9500,-12500,Expense,Corporate Administration
Printing,-500,-500,Expense,Corporate Administration
Site Inspection - BAC,-5500,-0,Expense,Corporate Administration
Site Inspection - Summit,-3e3,-15030,Expense,Corporate Administration
Management - Administration,-182001.72,-404617.21,Expense,Corporate Administration
Management - Finance,-108828.45,-95500.9,Expense,Corporate Administration
Management - Governance,-46954.92,-16367.61,Expense,Corporate Administration
Management - Miscellaneous,-35590.6,-53372.39,Expense,Corporate Administration
Management - Reporting,-122498.4,-129249.29,Expense,Corporate Administration
Management - Registration,-0,-0,Expense,Corporate Administration
Teleconference,-50,-100,Expense,Corporate Administration
Training/Educational/Networking,-0,-3e3,Expense,Corporate Administration
Travel - Misc. (Air/Land/Hotel),-6e3,-9680,Expense,Corporate Administration
Travel - Misc. (Meals),-1500,-2160,Expense,Corporate Administration
Sponsorship - MS Technology Platform,74e3,96480,Revenue,Information Technology
Sponsorship - MS IOT,0,1e4,Revenue,Information Technology
Computer Software/Equipment,-5e3,-7e3,Expense,Information Technology
IT - VC/VE Platform,-40734,-40734,Expense,Information Technology
IT - AtTask,-24270,-28e3,Expense,Information Technology
IT - Domain Registration,-12100,-3e3,Expense,Information Technology
IT - DNN Modules,-1500,-1500,Expense,Information Technology
IT - Marketing Tool,-29533.4,-43e3,Expense,Information Technology
IT - Guidebook,-19668.75,-23e3,Expense,Information Technology
IT- Office 365,-52930,-54480,Expense,Information Technology
IT - Hosting,-20748,-42e3,Expense,Information Technology
IT - Governance,-5710,-5e3,Expense,Information Technology
IT - Community Emails),-11e3,-2400,Expense,Information Technology
IT - Third Party Tools,-5e3,-3e3,Expense,Information Technology
IT - Salesforce,-8482.5,-18534.4,Expense,Information Technology
Management - IT (General),-255183.41,-152825.17,Expense,Information Technology
Management - IT (24 HOP),-7868.54,-0,Expense,Information Technology
Management - IT (Chapters),-15069.33,-0,Expense,Information Technology
Management - IT (Summit),-39196.17,-19886.12,Expense,Information Technology
Management - IT (VC),-3829.59,-0,Expense,Information Technology
Management - IT (Infastructure),-4617.39,-41625.42,Expense,Information Technology
Management - IT (SQLSaturday),-42164.17,-30645.11,Expense,Information Technology
Management - IT (BAC),-17060.06,-0,Expense,Information Technology
Management - IT (Help Desk),-1782.68,-68547.43,Expense,Information Technology
Management - IT (Volunteers),-6073.35,-0,Expense,Information Technology
Management - IT (Launch Events),-1919.71,-0,Expense,Information Technology
Management - IT (Portfolio Projects),-104246.98,-164576,Expense,Information Technology
IT - Consultants,-13e3,-35e3,Expense,Information Technology
Teleconference,-1e3,-125,Expense,Information Technology
Training/Educational/Networking,-2e3,-7e3,Expense,Information Technology
Audio/Visual,-7500,-9013.48,Expense,Board Support
Awards/Prizes - Misc.,-2e3,-2e3,Expense,Board Support
Insights,-0,-0,Expense,Board Support
Governance,-1e3,-1e3,Expense,Board Support
President Discretionary,-2e3,-1e3,Expense,Board Support
Shirts - Board,-0,-1824,Expense,Board Support
Management - General,-78751.74,-99830.68,Expense,Board Support
Telephone - PASS,-2800,-2e3,Expense,Board Support
Teleconference,-1100,-500,Expense,Board Support
Travel Summit - Leadership (Air/Land),-5e3,-7535,Expense,Board Support
Travel Summit - Leadership Global (Air/Land),-4400,-1235,Expense,Board Support
Travel Summit - Leadership (Hotel),-14850.56,-14357.83,Expense,Board Support
Travel Summit - Leadership (Meals),-1500,-1550,Expense,Board Support
Travel Board Meetings - (Air/Land),-19800,-18500,Expense,Board Support
Travel Board Meetings - Global (Air/Land),-8800,-6200,Expense,Board Support
Travel Board Meeting - (Hotels),-31178.32,-33605.28,Expense,Board Support
Travel Board Meetings - (Meals),-19703.76,-23393.36,Expense,Board Support
Travel BAC -Leadership (Air/Land),-5e3,-0,Expense,Board Support
Travel BAC -Leadership Global (Air/Land),-4400,-0,Expense,Board Support
Travel BAC - Leadership (Hotel),-11833.2,-0,Expense,Board Support
Travel BAC - Leadership (Meals),-1500,-0,Expense,Board Support
Travel Misc. - Leadership (Air/Land),-3600,-5440,Expense,Board Support
Travel Misc. - Leadership (Hotel),-4488.92,-4800,Expense,Board Support
Travel Misc. - Leadership (Meals),-6e3,-2160,Expense,Board Support
Travel - Misc. (Air/Land/Hotel),-6e3,-4520,Expense,Board Support
Travel - Misc. (Meals),-1500,-1080,Expense,Board Support
Job Target,6e3,2500,Revenue,Member Services
Job Bank - Revenue,0,2e4,Revenue,Member Services
Credit Card Fees,-0,-700,Expense,Member Services
Management - General,-0,-2629.09,Expense,Member Services
Marketing - Special Projects,-0,-0,Expense,Member Services
Job Bank - Expenses,-0,-12e3,Expense,Member Services
Design/Graphic - BA Conference,-2e4,-0,Expense,General Marketing
Design/Graphic - BA Day,-0,-7e3,Expense,General Marketing
Design/Graphic - BA Marathon,-1250,-1e3,Expense,General Marketing
Design/Graphic - Chapters,-500,-500,Expense,General Marketing
Design/Graphic - General,-25e3,-3e4,Expense,General Marketing
Design/Graphic - Board,-0,-5e3,Expense,General Marketing
Design/Graphic - Sales,-1e4,-7500,Expense,General Marketing
Design/Graphic - SQLSaturday NA,-1500,-5e3,Expense,General Marketing
Design/Graphic - Summit,-21e3,-2e4,Expense,General Marketing
Design/Graphic - Virtual Chapters,-1e3,-2e3,Expense,General Marketing
Design/Graphic - Virtual Events,-1e3,-1e3,Expense,General Marketing
Marketing - Advertising - 24 HOP,-2500,-1500,Expense,General Marketing
Marketing - Advertising - BA Marath,-2500,-1500,Expense,General Marketing
Marketing/Advertising - BA Community,-0,-2e4,Expense,General Marketing
Marketing - Advertising - BAC,-4e4,-0,Expense,General Marketing
Marketing - Advertising - General,-6e3,-25e3,Expense,General Marketing
Marketing - Advertising - Summit,-1e4,-25e3,Expense,General Marketing
Marketing - BA Conference,-3e4,-0,Expense,General Marketing
Marketing - BA Regional/Virtual Events,-17500,-5e3,Expense,General Marketing
"Marketing - Community (VCs, Chapters)",-1e3,-0,Expense,General Marketing
Marketing - General,-3e4,-16e3,Expense,General Marketing
Marketing - Sales,-2e3,-0,Expense,General Marketing
Marketing - Special Projects,-3500,-5e3,Expense,General Marketing
Marketing - SQLRally Global,-0,-0,Expense,General Marketing
Marketing - SQLSaturday,-1e3,-0,Expense,General Marketing
Marketing - Summit,-2e4,-0,Expense,General Marketing
Marketing - Virtual Events,-1500,-0,Expense,General Marketing
Miscellaneous Contractor -Sales,-0,-0,Expense,General Marketing
Multi Media - Governance,-1500,-5e3,Expense,General Marketing
Multi Media - Summit,-15e3,-17500,Expense,General Marketing
Multi-Media - BAC,-3e3,-0,Expense,General Marketing
Promotional Incentives - BAC,-1e4,-0,Expense,General Marketing
Promotional Inctives - BA Day,-0,-2500,Expense,General Marketing
Promotional Incentives - Chapter/VC,-2e3,-2e3,Expense,General Marketing
Promotional Incentives - General,-3e3,-0,Expense,General Marketing
Promotional Incentives - SQLSaturday NA,-7500,-7e3,Expense,General Marketing
Promotional Incentives - Summit,-15e3,-4500,Expense,General Marketing
Management- Marketing (Administration),-24668.95,-6572.72,Expense,General Marketing
Management- Marketing (BA Community),-17481.68,-61629.43,Expense,General Marketing
Management - Marketing (BAC),-56508.53,-3663.22,Expense,General Marketing
Management - Marketing (General),-101667.88,-152561.28,Expense,General Marketing
Management - Marketing (Global),-37945.78,-17656.08,Expense,General Marketing
Management - Marketing (Sales),-22973.56,-5246.22,Expense,General Marketing
Management - Marketing (Summit),-60342.53,-90575.6,Expense,General Marketing
Management - Marketing (Virtual Chapters),-4090.11,-3890.25,Expense,General Marketing
Teleconference,-1500,-350,Expense,General Marketing
Training/Education/Networking,-0,-5e3,Expense,General Marketing
Travel - Misc. (Air/Land/Hotel),-3e3,-3250,Expense,General Marketing
Travel - Misc. (Meals),-800,-400,Expense,General Marketing
Awards/Prizes/Gifts,-2250,-500,Expense,Chapters
Chapter leader Meeting - Summit,-1597.69,-1542.92,Expense,Chapters
Community Evangelist - Contractor,-9370.54,-0,Expense,Chapters
Incentives - Summit & BAC Registrations,-15e3,-15e3,Expense,Chapters
Management - General,-1097.34,-311.71,Expense,Chapters
Regional Mentor Meeting - Summit,-45468.18,-93376.06,Expense,Chapters
Teleconference,-200,-0,Expense,Chapters
Travel - CE Domestic A/L/H/M,-2100,-0,Expense,Chapters
Travel - CE International A/L/H/M,-2e3,-0,Expense,Chapters
Awards/Prizes - Misc.,-350,-350,Expense,Volunteer Programs & Engagement
Volunteer Incentives,-4393.11,-1458.24,Expense,Volunteer Programs & Engagement
Management - General,-0,-1850.37,Expense,Volunteer Programs & Engagement
Volunteer Evening Event,-8500,-7751.46,Expense,Volunteer Programs & Engagement
Volunteer Meeting Summit,-1e3,-0,Expense,Volunteer Programs & Engagement
Management- Contingency,-161033.04,-0,Expense,Special Projects
Management - General,-0,-83697.98,Expense,Special Projects
Management - General (Contingency),-540839.35,-615313.01,Expense,Special Projects
Management - Launch Events,-0,-0,Expense,Special Projects
Training/Education/Networking,-0,-1500,Expense,Special Projects
Advertising - Web General,0,33e3,Revenue,SQLSaturday
Advertising - Web GAP,0,5400,Revenue,SQLSaturday
Community Evangelist - Contractor,-68149.41,-77836.36,Expense,SQLSaturday
Ad Serving Fees,-0,-11520,Expense,SQLSaturday
Sales Commission - General,-0,-3300,Expense,SQLSaturday
Sales Commission - GAP,-0,-135,Expense,SQLSaturday
Regional Mentor -TE,-3500,-3500,Expense,SQLSaturday
SQLSaturday Sponsorship,-28e3,-19750,Expense,SQLSaturday
SQLSaturday Sponsorship - International,-27e3,-17750,Expense,SQLSaturday
SQLSaturday Round Table - Summit,-1556.43,-1542.92,Expense,SQLSaturday
Management - General,-29478.35,-9555.03,Expense,SQLSaturday
Management - SQLSaturday North America,-769.42,-3687.66,Expense,SQLSaturday
Management - SQLSaturday Global,-1693.85,-6218.93,Expense,SQLSaturday
Teleconference,-600,-100,Expense,SQLSaturday
Travel - CE (1) Domestic A/L/H/M,-12600,-2e3,Expense,SQLSaturday
Travel - CE (1) International A/L/H/M,-36e3,-7e3,Expense,SQLSaturday
Sponsorship - MS 24 Hours of PASS,18e3,18e3,Revenue,Virtual Events
Sponsorship - 24 Hours of PASS,19e3,22500,Revenue,Virtual Events
Sponsorship - 24 Hours of PASS (GAP),14662.5,17550,Revenue,Virtual Events
Sponsorship - MS BA Marathon,0,5e3,Revenue,Virtual Events
Sponsorship - BA Marathon,0,3500,Revenue,Virtual Events
Sponsorship - BA Marathon (GAP),0,2250,Revenue,Virtual Events
Sales Commission - General,-2850,-2600,Expense,Virtual Events
Sales Commission - GAP,-0,-495,Expense,Virtual Events
Management - Contingency,-0,-0,Expense,Virtual Events
Management - Virtual Events,-18767.16,-27433.67,Expense,Virtual Events
Management - Virtual Events (Global),-1928.3,-2530.86,Expense,Virtual Events
Community Evangelist - Contractor,-3407.47,-4324.24,Expense,Global Growth
Regional Board Advisor - Latam,-6e3,-0,Expense,Global Growth
